notes,0,1,2,3,4,5,6,7,8
C,,32.703,65.406,130.812,261.624,523.248,1046.496,2092.992,4185.984
C#/Db,,34.648,69.296,138.592,277.184,554.368,1108.736,2217.472,4434.944
D,,36.708,73.416,146.832,293.664,587.328,1174.656,2349.312,4698.624
D#/Eb,,38.891,77.782,155.564,311.128,622.256,1244.512,2489.024,4978.048
E,,41.203,82.406,164.812,329.624,659.248,1318.496,2636.992,5273.984
F,,43.654,87.308,174.616,349.232,698.464,1396.928,2793.856,5587.712
F#/Gb,,46.249,92.498,184.996,369.992,739.984,1479.968,2959.936,5919.872
G,,48.999,97.998,195.996,391.992,783.984,1567.968,3135.936,6271.872
G#/Ab,,51.913,103.826,207.652,415.304,830.608,1661.216,3322.432,6644.864
A,27.5,55.000,110.000,220.000,440.000,880.000,1760.000,3520.000,7040.000
A#/Bb,29.135,58.270,116.540,233.080,466.160,932.320,1864.640,3729.280,7458.560
B,30.868,61.735,123.470,246.940,493.880,987.760,1975.520,3951.040,7902.080
